id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_hour,pickup_day,demand_period
id3306442,2,2016-04-01 17:48:09,2016-04-01 17:59:21,5,-73.98468017578125,40.73680877685546,-73.9890365600586,40.72232055664063,N,11.2,17,Friday,Peak
id1071199,1,2016-04-25 18:56:01,2016-04-25 19:26:03,2,-73.98998260498048,40.750038146972656,-73.98330688476561,40.66269302368164,N,30.033333333333335,18,Monday,Peak
id3640789,1,2016-03-29 09:43:47,2016-03-29 09:51:55,1,-73.98335266113281,40.738815307617195,-73.99324035644531,40.736152648925774,N,8.133333333333333,9,Tuesday,Peak
id2277938,2,2016-02-03 23:19:20,2016-02-03 23:30:41,6,-73.98928833007811,40.743900299072266,-73.99070739746092,40.71921157836913,N,11.35,23,Wednesday,Off-Peak
id2362449,1,2016-04-09 00:08:26,2016-04-09 00:48:27,1,-74.009521484375,40.70350646972656,-73.85881805419923,40.73304748535156,N,40.016666666666666,0,Saturday,Off-Peak
id2403559,1,2016-02-25 06:29:17,2016-02-25 06:39:00,1,-73.9871597290039,40.75572204589844,-73.96636962890625,40.77041244506836,N,9.716666666666667,6,Thursday,Off-Peak
id0690680,1,2016-02-02 13:56:02,2016-02-02 14:08:29,1,-73.98692321777342,40.745399475097656,-73.99639129638672,40.72363662719727,N,12.45,13,Tuesday,Mid-Day
id2007424,1,2016-02-10 15:29:26,2016-02-10 15:50:08,1,-73.9801254272461,40.783252716064446,-73.95268249511719,40.78598785400391,N,20.7,15,Wednesday,Mid-Day
id3930741,1,2016-02-02 14:54:24,2016-02-02 15:14:11,1,-73.99623107910156,40.73969650268555,-74.00981903076173,40.71936798095703,N,19.783333333333335,14,Tuesday,Mid-Day
id2822516,2,2016-03-09 06:55:25,2016-03-09 06:58:45,1,-73.99064636230467,40.755958557128906,-73.98336791992188,40.76228332519531,N,3.3333333333333335,6,Wednesday,Off-Peak
id1483870,2,2016-02-13 00:12:41,2016-02-13 00:32:37,1,-74.00131225585938,40.731082916259766,-73.95067596435547,40.78747177124024,N,19.933333333333334,0,Saturday,Off-Peak
id2131337,1,2016-01-15 09:27:56,2016-01-15 09:38:51,1,-73.97411346435547,40.78313827514648,-73.95964050292967,40.774017333984375,N,10.916666666666666,9,Friday,Peak
id2709053,1,2016-05-23 21:09:39,2016-05-23 21:29:33,1,-73.97657012939453,40.75529479980469,-74.00843048095702,40.71803665161133,N,19.9,21,Monday,Off-Peak
id0875747,1,2016-03-02 19:37:02,2016-03-02 19:43:18,1,-73.98197937011719,40.773712158203125,-73.97599792480467,40.78726577758789,N,6.266666666666667,19,Wednesday,Peak
id2049299,1,2016-02-17 22:25:19,2016-02-17 22:31:14,1,-73.9658203125,40.762161254882805,-73.94658660888672,40.78236770629882,N,5.916666666666667,22,Wednesday,Off-Peak
id3841180,2,2016-03-11 08:50:27,2016-03-11 08:55:02,1,-73.99263000488281,40.734180450439446,-74.00013732910156,40.74147033691406,N,4.583333333333333,8,Friday,Peak
id0269078,1,2016-01-04 05:21:18,2016-01-04 05:48:23,4,-73.97801971435547,40.76178359985352,-73.78306579589844,40.64894485473633,N,27.083333333333332,5,Monday,Off-Peak
id3874094,1,2016-01-26 09:44:29,2016-01-26 10:01:53,1,-73.98876953125,40.77413177490234,-73.9605712890625,40.807254791259766,N,17.4,9,Tuesday,Peak
id1350289,2,2016-06-20 18:18:21,2016-06-20 18:26:56,2,-73.9784927368164,40.78823852539063,-73.95379638671875,40.78049087524414,N,8.583333333333334,18,Monday,Peak
id3770673,1,2016-02-17 12:12:31,2016-02-17 12:19:13,1,-73.96409606933594,40.75687789916992,-73.97032165527342,40.76507568359375,N,6.7,12,Wednesday,Mid-Day
id2158513,2,2016-02-02 12:49:03,2016-02-02 13:12:07,1,-73.78992462158203,40.647018432617195,-73.91588592529298,40.74785614013672,N,23.066666666666666,12,Tuesday,Mid-Day
id3890071,2,2016-06-26 13:06:04,2016-06-26 13:22:17,1,-73.970458984375,40.78900146484375,-74.00196075439453,40.74113845825195,N,16.216666666666665,13,Sunday,Mid-Day
id3773186,2,2016-05-12 18:03:12,2016-05-12 18:26:14,2,-74.00582885742188,40.70609664916992,-73.9876937866211,40.732364654541016,N,23.033333333333335,18,Thursday,Peak
id3317509,1,2016-04-01 19:46:14,2016-04-01 20:03:21,1,-73.97470855712889,40.74686813354492,-73.99382781982422,40.73273849487305,N,17.116666666666667,19,Friday,Peak
id0281170,2,2016-05-29 21:24:59,2016-05-29 21:28:56,1,-73.98150634765625,40.781036376953125,-73.98090362548828,40.78828811645508,N,3.95,21,Sunday,Off-Peak
id0334748,1,2016-02-11 13:36:12,2016-02-11 13:50:42,1,-73.98585510253906,40.75302505493164,-73.9924545288086,40.73563003540039,N,14.5,13,Thursday,Mid-Day
id2947083,2,2016-02-09 12:12:44,2016-02-09 12:15:12,1,-73.93605804443358,40.75005340576172,-73.93897247314453,40.752403259277344,N,2.466666666666667,12,Tuesday,Mid-Day
id0441083,1,2016-03-29 06:44:06,2016-03-29 06:53:39,1,-73.96944427490233,40.76017379760742,-73.99644470214845,40.7427864074707,N,9.55,6,Tuesday,Off-Peak
id3238313,1,2016-01-05 18:52:41,2016-01-05 19:14:13,1,-73.99408721923827,40.75126647949219,-73.96526336669923,40.75856399536133,N,21.533333333333335,18,Tuesday,Peak
id0689131,2,2016-06-28 22:03:53,2016-06-28 22:35:08,1,-73.95223236083984,40.769081115722656,-73.96145629882812,40.65222930908203,N,31.25,22,Tuesday,Off-Peak
id2261581,2,2016-02-05 20:08:17,2016-02-05 20:12:57,2,-73.98807525634764,40.74100112915039,-74.00068664550781,40.74630737304688,N,4.666666666666667,20,Friday,Off-Peak
id0039798,1,2016-02-09 05:35:53,2016-02-09 05:39:50,1,-73.96905517578125,40.80091857910156,-73.97078704833984,40.79027557373047,N,3.95,5,Tuesday,Off-Peak
id2917003,2,2016-03-08 21:48:13,2016-03-08 22:16:10,1,-73.78157806396483,40.64476776123047,-73.85013580322266,40.87994766235352,N,27.95,21,Tuesday,Off-Peak
id3618042,2,2016-03-05 09:23:07,2016-03-05 09:41:14,5,-74.00943756103516,40.70626831054688,-73.99166107177734,40.77050018310546,N,18.116666666666667,9,Saturday,Peak
id1093583,2,2016-03-08 21:23:10,2016-03-08 21:31:17,6,-73.9651107788086,40.75519943237305,-73.9787368774414,40.77484893798828,N,8.116666666666667,21,Tuesday,Off-Peak
id2915275,2,2016-01-20 20:09:28,2016-01-20 20:27:10,1,-73.99624633789062,40.720260620117195,-74.0066680908203,40.74383163452149,N,17.7,20,Wednesday,Off-Peak
